"price","object"
49.99,"coffee maker"
35,"coffee maker"
19.99,"coffee maker"
35,"coffee maker"
29.99,"coffee maker"
39.99,"coffee maker"
85,"coffee maker"
30.99,"coffee maker"
20,"coffee maker"
29.99,"coffee maker"
45.95,"coffee maker"
30,"coffee maker"
75,"coffee maker"
50,"coffee maker"
35.99,"coffee maker"
49.99,"coffee maker"
23,"coffee maker"
29.99,"coffee maker"
30,"coffee maker"
50,"coffee maker"
35,"coffee maker"
10.99,"coffee maker"
35.5,"coffee maker"
14.99,"coffee maker"
19.99,"coffee maker"
30,"coffee maker"
30,"coffee maker"
39.99,"coffee maker"
111.98,"coffee maker"
34.99,"coffee maker"
24.99,"coffee maker"
32.99,"coffee maker"
49.99,"coffee maker"
19.99,"coffee maker"
8.5,"coffee maker"
30,"coffee maker"
25.5,"coffee maker"
19.99,"coffee maker"
39.99,"coffee maker"
100,"coffee maker"
30,"coffee maker"
60.38,"coffee maker"
24.99,"coffee maker"
24.99,"coffee maker"
40,"coffee maker"
19.95,"coffee maker"
30,"coffee maker"
35.99,"coffee maker"
109.99,"coffee maker"
39.99,"coffee maker"
58.75,"coffee maker"
40,"coffee maker"
39.99,"coffee maker"
35.99,"coffee maker"
30,"coffee maker"
35.21,"coffee maker"
39.99,"coffee maker"
20.59,"coffee maker"
60,"coffee maker"
30.99,"coffee maker"
20,"coffee maker"
35.99,"coffee maker"
45.99,"coffee maker"
40,"coffee maker"
70,"coffee maker"
45,"coffee maker"
49.5,"coffee maker"
30.99,"coffee maker"
70.99,"coffee maker"
20.5,"coffee maker"
60,"coffee maker"
15.99,"coffee maker"
40,"coffee maker"
15,"coffee maker"
29.99,"coffee maker"
38.99,"coffee maker"
25,"coffee maker"
29.99,"coffee maker"
20,"coffee maker"
30,"coffee maker"
29.95,"coffee maker"
55,"coffee maker"
49.99,"coffee maker"
40,"coffee maker"
29.95,"coffee maker"
15.99,"coffee maker"
79.99,"coffee maker"
79.99,"coffee maker"
24.99,"coffee maker"
35,"coffee maker"
70.41,"coffee maker"
15,"coffee maker"
45.99,"coffee maker"
24.99,"coffee maker"
50.99,"coffee maker"
30,"coffee maker"
20,"coffee maker"
25,"coffee maker"
25,"coffee maker"
20,"coffee maker"
29.99,"coffee maker"
25.99,"coffee maker"
29.99,"coffee maker"
25,"coffee maker"
35.99,"coffee maker"
23.18,"coffee maker"
27.89,"coffee maker"
75,"coffee maker"
29.99,"coffee maker"
19.99,"coffee maker"
40,"coffee maker"
35,"coffee maker"
24.99,"coffee maker"
19.99,"coffee maker"
14.99,"coffee maker"
44.77,"coffee maker"
15.99,"coffee maker"
25.95,"coffee maker"
75,"coffee maker"
89.99,"coffee maker"
60,"coffee maker"
39.99,"coffee maker"
20.99,"coffee maker"
149.99,"coffee maker"
73,"coffee maker"
45.99,"coffee maker"
18.99,"headphones"
10,"headphones"
300,"headphones"
40,"headphones"
99.99,"headphones"
19,"headphones"
25,"headphones"
44.99,"headphones"
125,"headphones"
9.99,"headphones"
21.99,"headphones"
9.99,"headphones"
35,"headphones"
12.49,"headphones"
15.99,"headphones"
19.99,"headphones"
10,"headphones"
14.99,"headphones"
25,"headphones"
24.99,"headphones"
25,"headphones"
24.99,"headphones"
20,"headphones"
14.99,"headphones"
11.99,"headphones"
25.99,"headphones"
20,"headphones"
14.59,"headphones"
8.99,"headphones"
29.99,"headphones"
59.99,"headphones"
30,"headphones"
59.99,"headphones"
29.99,"headphones"
25,"headphones"
25,"headphones"
19.99,"headphones"
19.99,"headphones"
29.99,"headphones"
15.25,"headphones"
6,"headphones"
28.5,"headphones"
27.99,"headphones"
49.99,"headphones"
50,"headphones"
24.95,"headphones"
35,"headphones"
19.99,"headphones"
24.99,"headphones"
60,"headphones"
30.48,"headphones"
20,"headphones"
29.99,"headphones"
25.99,"headphones"
50,"headphones"
10.13,"headphones"
19.99,"headphones"
20.99,"headphones"
25,"headphones"
20.5,"headphones"
15,"headphones"
19.99,"headphones"
25,"headphones"
25,"headphones"
8.99,"headphones"
89.99,"headphones"
9.99,"headphones"
3.99,"headphones"
70.79,"headphones"
25,"headphones"
30,"headphones"
30.2,"headphones"
49.99,"headphones"
30,"headphones"
19.99,"headphones"
35,"headphones"
10,"headphones"
19.99,"headphones"
20,"headphones"
20,"headphones"
49.99,"headphones"
35,"headphones"
39.99,"headphones"
20,"headphones"
9.95,"headphones"
30,"headphones"
69.99,"headphones"
50,"headphones"
9.99,"headphones"
50,"headphones"
49.99,"headphones"
30,"headphones"
12.99,"headphones"
49,"headphones"
39.99,"headphones"
35,"headphones"
10,"headphones"
15,"headphones"
30,"headphones"
10,"headphones"
14.99,"headphones"
19.99,"headphones"
39.89,"headphones"
10,"headphones"
14.99,"headphones"
15,"headphones"
9.99,"headphones"
35,"headphones"
9.99,"headphones"
9.99,"headphones"
80,"headphones"
20,"headphones"
27.99,"headphones"
9.99,"headphones"
23.99,"headphones"
24.99,"headphones"
4.99,"headphones"
15.99,"headphones"
25,"headphones"
15.89,"headphones"
20,"headphones"
9.99,"headphones"
50.5,"headphones"
100,"headphones"
17,"headphones"
29.99,"headphones"
640,"laptop"
400,"laptop"
800,"laptop"
700,"laptop"
650.99,"laptop"
399.99,"laptop"
499.99,"laptop"
800,"laptop"
500,"laptop"
699.99,"laptop"
800,"laptop"
329.99,"laptop"
800,"laptop"
499.99,"laptop"
500.5,"laptop"
